"word1","word2","word3","freq"
"happy","mothers","day",8
"lead","background","vocals",5
"dont","even","know",4
"love","love","love",4
"cant","wait","see",3
"cents","per","share",3
"east","st","louis",3
"ill","let","know",3
"looking","forward","tomorrow",3
"new","york","city",3
"pins","places","ive",3
"two","years","ago",3
"2","stitches","together",2
"3133552","bottles","that’s",2
"500","mgm2","max",2
"63","cents","per",2
"9400655","bottles","chemical",2
"act","national","community",2
"aga","khan","university",2
"almost","every","day",2
"alternative","that’s","still",2
"amazon","services","llc",2
"armed","robbery","five",2
"ashley","ashley","ashley",2
"assume","two","thirds",2
"assuming","person","usespurchases",2
"believe","little","boy",2
"bottle","sunscreen","year",2
"bottles","chemical","laden",2
"bottles","that’s","assuming",2
"bought","environmentally","healthy",2
"can","believe","little",2
"can","help","prevent",2
"can","see","now",2
"cents","per","kilowatt",2
"chemical","laden","resource",2
"child","least","amount",2
"chobani","samples","yum",2
"chosen","live","community",2
"chris","martin","chris",2
"community","others","chosen",2
"dark","haired","one",2
"depleting","potentially","hazardous",2
"doesnt","mean","dont",2
"dont","even","begin",2
"dont","know","im",2
"dont","one","best",2
"dry","creek","valley",2
"eating","good","food",2
"encourage","root","growth",2
"environmentally","healthy","alternative",2
"even","assume","two",2
"executive","vice","president",2
"feel","like","people",2
"floridians","use","one",2
"forgive","others","forgive",2
"forward","tomorrow","free",2
"free","chobani","samples",2
"free","nights","stay",2
"glad","minibrief","hit",2
"great","meeting","thanks",2
"guitar","lead","background",2
"half","floridians","use",2
"half","time","want",2
"happy","valentines","day",2
"hard","niggas","kno",2
"haven’t","seen","it’s",2
"hazardous","product","stinkin",2
"healthy","alternative","that’s",2
"high","blood","pressure",2
"high","school","athletic",2
"hit","smms","great",2
"im","going","say",2
"im","pretty","sure",2
"increases","bounce","rate",2
"just","got","back",2
"just","say","half",2
"just","thought","id",2
"just","wanted","try",2
"key","lime","pie",2
"knit","1","stitch",2
"knit","2","stitches",2
"laden","resource","depleting",2
"landfills","even","assume",2
"leadership","development","gap",2
"let","us","know",2
"let’s","just","say",2
"lets","take","look",2
"letter","sounds","per",2
"like","one","day",2
"live","community","others",2
"long","series","rejections",2
"make","sure","check",2
"make","sure","get",2
"many","people","including",2
"max","1000","mg",2
"mcmanis","family","vineyards",2
"meeting","thanks","hope",2
"mgm2","max","1000",2
"mi","run","time",2
"michigan","high","school",2
"mingo","junction","ohio",2
"minibrief","hit","smms",2
"monday","labor","day",2
"much","kind","words",2
"music","video","shoot",2
"national","weather","service",2
"never","say","never",2
"new","york","times",2
"niggas","kno","got",2
"often","fill","buckets",2
"one","bottle","sunscreen",2
"one","group","still",2
"one","whos","done",2
"osama","bin","laden",2
"others","forgive","others",2
"parissi","lead","vocals",2
"patrons","bought","environmentally",2
"per","kilowatt","hour",2
"percent","three-point","range",2
"period","last","year",2
"person","usespurchases","one",2
"points","15","rebounds",2
"political","action","committee",2
"potentially","hazardous","product",2
"president","united","states",2
"pretty","darn","good",2
"product","stinkin","landfills",2
"professionals","robert","half",2
"really","dont","know",2
"relevant","magazine’s","mission",2
"resource","depleting","potentially",2
"rob","parissi","lead",2
"robbery","five","counts",2
"robert","half","international",2
"said","written","statement",2
"sarah","jane","smith",2
"say","half","floridians",2
"sentenced","life","prison",2
"smms","great","meeting",2
"sounds","like","plan",2
"sounds","per","child",2
"st","louis","market",2
"state","transportation","officials",2
"still","3133552","bottles",2
"still","going","strong",2
"stinkin","landfills","even",2
"stitch","knit","2",2
"sun","patrons","bought",2
"sunscreen","year","that’s",2
"tax","lien","sales",2
"taxed","higher","rate",2
"tell","people","follow",2
"thank","much","kind",2
"that’s","9400655","bottles",2
"that’s","assuming","person",2
"that’s","still","3133552",2
"thirds","sun","patrons",2
"three","centuries","technological",2
"three","reserve","members",2
"three","years","ago",2
"time","want","knock",2
"tomorrow","free","chobani",2
"two","thirds","sun",2
"united","states","going",2
"use","one","bottle",2
"usespurchases","one","bottle",2
"want","knock","shit",2
"wats","good","bro",2
"will","bring","us",2
"winner","will","receive",2
"within","five","years",2
"woodchuck","chug","woodchuck",2
"year","that’s","9400655",2
